NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:
n = 100,000 points
Repeat times    n         c
      1       141488   1623.47
      1       141400   1623.47
      1       141312   1623.47
      1       141224   1623.47
      1       141137   1623.47
      1       141050   1623.47
      1       140963   1623.47
      1       140876   1623.47
      1       140789   1623.47
      1       140702   1623.47
      1       140615   1623.47
      1       140528   1623.47
      1       140441   1623.47
      1       140354   1623.47
      1       140267   1623.47
      1       140180   1623.47
      1       140093   1623.47
      1       140006   1623.47
      1       139919   1623.47
      1       139832   1623.47
      1       139745   1623.47
      1       139658   1623.47
      1       139571   1623.47
      1       139485   1623.47
      1       139399   1623.47
      1       139313   1623.47
      1       139227   1623.47
      1       139141   1623.47
      1       139055   1623.47
      1       138969   1623.47
      1       138883   1623.47
      1       138797   1623.47
      1       138711   1623.47
      1       138625   1623.47
      1       138539   1623.47
      1       138453   1623.47
      1       138367   1623.47
      1       138281   1623.47
      1       138195   1623.47
      1       138109   1623.47
      1       138023   1623.47
      1       137937   1623.47
      1       137852   1623.47
      1       137767   1623.47
      1       137682   1623.47
      1       137597   1623.47
      1       137512   1623.47
      1       137427   1623.47
      1       137342   1623.47
      1       137257   1623.47
      1       137172   1623.47
      1       137087   1623.47
      1       137002   1623.47
      1       136917   1623.47
      1       136832   1623.47
      1       136747   1623.47
      1       136662   1623.47
      1       136577   1623.47
      1       136492   1623.47
      1       136407   1623.47
      1       136322   1623.47
      1       136238   1623.47
      1       136154   1623.47
      1       136070   1623.47
      1       135986   1623.47
      1       135902   1623.47
      1       135818   1623.47
      1       135734   1623.47
      1       135650   1623.47
      1       135566   1623.47
      1       135482   1623.47
      1       135398   1623.47
      1       135314   1623.47
      1       135230   1623.47
      1       135146   1623.47
      1       135062   1623.47
      1       134978   1623.47
      1       134894   1623.47
      1       134810   1623.47
      1       134726   1623.47
      1       134643   1623.47
      1       134560   1623.47
      1       134477   1623.47
      1       134394   1623.47
      1       134311   1623.47
      1       134228   1623.47
      1       134145   1623.47
      1       134062   1623.47
      1       133979   1623.47
      1       133896   1623.47
      1       133813   1623.47
      1       133730   1623.47
      1       133647   1623.47
      1       133564   1623.47
      1       133481   1623.47
      1       133398   1623.47
      1       133315   1623.47
      1       133232   1623.47
      1       133149   1623.47
      1       133066   1623.47
      1       132984   1623.47
      1       132902   1623.47
      1       132820   1623.47
      1       132738   1623.47
      1       132656   1623.47
      1       132574   1623.47
      1       132492   1623.47
      1       132410   1623.47
      1       132328   1623.47
      1       132246   1623.47
      1       132164   1623.47
      1       132082   1623.47
      1       132000   1623.47
      1       131918   1623.47
      1       131836   1623.47
      1       131754   1623.47
      1       131672   1623.47
      1       131590   1623.47
      1       131508   1623.47
      1       131426   1623.47
      1       131345   1623.47
      1       131264   1623.47
      1       131183   1623.47
      1       131102   1623.47
      1       131021   1623.47
      1       130940   1623.47
      1       130859   1623.47
      1       130778   1623.47
      1       130697   1623.47
      1       130616   1623.47
      1       130535   1623.47
      1       130454   1623.47
      1       130373   1623.47
      1       130292   1623.47
      1       130211   1623.47
      1       130130   1623.47
      1       130049   1623.47
      1       129968   1623.47
      1       129887   1623.47
      1       129806   1623.47
      1       129726   1623.47
      1       129646   1623.47
      1       129566   1623.47
      1       129486   1623.47
      1       129406   1623.47
      1       129326   1623.47
      1       129246   1623.47
      1       129166   1623.47
      1       129086   1623.47
      1       129006   1623.47
      1       128926   1623.47
      1       128846   1623.47
      1       128766   1623.47
      1       128686   1623.47
      1       128606   1623.47
      1       128526   1623.47
      1       128446   1623.47
      1       128366   1623.47
      1       128286   1623.47
      1       128206   1623.47
      1       128127   1623.47
      1       128048   1623.47
      1       127969   1623.47
      1       127890   1623.47
      1       127811   1623.47
      1       127732   1623.47
      1       127653   1623.47
      1       127574   1623.47
      1       127495   1623.47
      1       127416   1623.47
      1       127337   1623.47
      1       127258   1623.47
      1       127179   1623.47
      1       127100   1623.47
      1       127021   1623.47
      1       126942   1623.47
      1       126863   1623.47
      1       126784   1623.47
      1       126705   1623.47
      1       126626   1623.47
      1       126548   1623.47
      1       126470   1623.47
      1       126392   1623.47
      1       126314   1623.47
      1       126236   1623.47
      1       126158   1623.47
      1       126080   1623.47
      1       126002   1623.47
      1       125924   1623.47
      1       125846   1623.47
      1       125768   1623.47
      1       125690   1623.47
      1       125612   1623.47
      1       125534   1623.47
      1       125456   1623.47
      1       125378   1623.47
      1       125300   1623.47
      1       125222   1623.47
      1       125144   1623.47
      1       125066   1623.47
      1       124988   1623.47
      1       124911   1623.47
      1       124834   1623.47
      1       124757   1623.47
      1       124680   1623.47
      1       124603   1623.47
      1       124526   1623.47
      1       124449   1623.47
      1       124372   1623.47
      1       124295   1623.47
      1       124218   1623.47
      1       124141   1623.47
      1       124064   1623.47
      1       123987   1623.47
      1       123910   1623.47
      1       123833   1623.47
      1       123756   1623.47
      1       123679   1623.47
      1       123602   1623.47
      1       123525   1623.47
      1       123448   1623.47
      1       123371   1623.47
      1       123295   1623.47
      1       123219   1623.47
      1       123143   1623.47
      1       123067   1623.47
      1       122991   1623.47
      1       122915   1623.47
      1       122839   1623.47
      1       122763   1623.47
      1       122687   1623.47
      1       122611   1623.47
      1       122535   1623.47
      1       122459   1623.47
      1       122383   1623.47
      1       122307   1623.47
      1       122231   1623.47
      1       122155   1623.47
      1       122079   1623.47
      1       122003   1623.47
      1       121927   1623.47
      1       121851   1623.47
      1       121775   1623.47
      1       121699   1623.47
      1       121624   1623.47
      1       121549   1623.47
      1       121474   1623.47
      1       121399   1623.47
      1       121324   1623.47
      1       121249   1623.47
      1       121174   1623.47
      1       121099   1623.47
      1       121024   1623.47
      1       120949   1623.47
      1       120874   1623.47
      1       120799   1623.47
      1       120724   1623.47
      1       120649   1623.47
      1       120574   1623.47
      1       120499   1623.47
      1       120424   1623.47
      1       120349   1623.47
      1       120274   1623.47
      1       120199   1623.47
      1       120124   1623.47
      1       120050   1623.47
      1       119976   1623.47
      1       119902   1623.47
      1       119828   1623.47
      1       119754   1623.47
      1       119680   1623.47
      1       119606   1623.47
      1       119532   1623.47
      1       119458   1623.47
      1       119384   1623.47
      1       119310   1623.47
      1       119236   1623.47
      1       119162   1623.47
      1       119088   1623.47
      1       119014   1623.47
      1       118940   1623.47
      1       118866   1623.47
      1       118792   1623.47
      1       118718   1623.47
      1       118644   1623.47
      1       118570   1623.47
      1       118496   1623.47
      1       118423   1623.47
      1       118350   1623.47
      1       118277   1623.47
      1       118204   1623.47
      1       118131   1623.47
      1       118058   1623.47
      1       117985   1623.47
      1       117912   1623.47
      1       117839   1623.47
      1       117766   1623.47
      1       117693   1623.47
      1       117620   1623.47
      1       117547   1623.47
      1       117474   1623.47
      1       117401   1623.47
      1       117328   1623.47
      1       117255   1623.47
      1       117182   1623.47
      1       117109   1623.47
      1       117036   1623.47
      1       116963   1623.47
      1       116890   1623.47
      1       116817   1623.47
      1       116745   1623.47
      1       116673   1623.47
      1       116601   1623.47
      1       116529   1623.47
      1       116457   1623.47
      1       116385   1623.47
      1       116313   1623.47
